data/mcs-instances/mcs70/bvg/b06/mcs70_b06_s10.A96 data/mcs-instances/mcs70/bvg/b06/mcs70_b06_s10.B96,84,1,8
data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.A40 data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.B40,24,1,9
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.A24 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.B24,195,31,45
data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s10.A41 data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s10.B41,140,3,7
data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s25.A99 data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s25.B99,1812,85,22
data/mcs-instances/mcs50/bvg/b06/mcs50_b06_s15.A61 data/mcs-instances/mcs50/bvg/b06/mcs50_b06_s15.B61,2468,59,11
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s10.A69 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s10.B69,10,0,9
data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s40.A71 data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s40.B71,449,48,36
data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s20.A71 data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s20.B71,63,15,19
data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s35.A29 data/mcs-instances/mcs90/bvg/b09m/mcs90_b09m_s35.B29,1237,71,30
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s15.A39 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s15.B39,8873,160,10
data/mcs-instances/mcs50/rand/r01/mcs50_r01_s10.A45 data/mcs-instances/mcs50/rand/r01/mcs50_r01_s10.B45,30,1,8
data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s60.A20 data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s60.B20,4789,326,54
data/mcs-instances/mcs30/bvg/b03m/mcs30_b03m_s20.A77 data/mcs-instances/mcs30/bvg/b03m/mcs30_b03m_s20.B77,12861,276,16
data/mcs-instances/mcs50/bvg/b03m/mcs50_b03m_s20.A13 data/mcs-instances/mcs50/bvg/b03m/mcs50_b03m_s20.B13,16000,312,15
data/mcs-instances/mcs10/rand/r01/mcs10_r01_s20.A08 data/mcs-instances/mcs10/rand/r01/mcs10_r01_s20.B08,29278,594,14
data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s100.A35 data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s100.B35,3037,669,90
data/mcs-instances/mcs90/bvg/b09/mcs90_b09_s70.A98 data/mcs-instances/mcs90/bvg/b09/mcs90_b09_s70.B98,6973,804,62
data/mcs-instances/mcs70/bvg/b09m/mcs70_b09m_s30.A22 data/mcs-instances/mcs70/bvg/b09m/mcs70_b09m_s30.B22,36464,1147,20
data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s20.A10 data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s20.B10,65038,1252,14
data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s60.A86 data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s60.B86,14868,1359,54
data/mcs-instances/mcs90/m2D/m2Dr2/mcs90_m2Dr2_s70.A09 data/mcs-instances/mcs90/m2D/m2Dr2/mcs90_m2Dr2_s70.B09,4461,525,64
data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s30.A81 data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s30.B81,66028,2162,21
